# Species	Genes	Alg.-Conn.	Human_ERR414243_bin.4.fna.faa	Human_SRR5056681_bin.100.fna.faa	Human_SRR5056817_bin.33.fna.faa	Human_SRR5056841_bin.46.fna.faa	Human_SRR5056944_bin.12.fna.faa	Human_SRR5056994_bin.72.fna.faa	Human_SRR5558136_bin.38.fna.faa	Human_SRR6028624_bin.16.fna.faa	Rumen_CACVNT01.fna.faa	Rumen_CACVQO01.fna.faa	Rumen_CACVRV01.fna.faa	Rumen_CACVSO01.fna.faa	Rumen_CACVSX01.fna.faa	Rumen_CACWHG01.fna.faa	Rumen_CACWMC01.fna.faa	Rumen_CACWMY01.fna.faa	Rumen_CACWPH01.fna.faa	Rumen_CACYST01.fna.faa	Rumen_CADAEW01.fna.faa	Rumen_CADAIA01.fna.faa	Rumen_CADBJG01.fna.faa	Rumen_CADBNS01.fna.faa	baboon1.faa	maccaque1.faa	maccaque2.faa	maccaque3.faa	maccaque4.faa	maccaque5.faa	maccaque6.faa	maccaque7.faa
30	30	0.00741	Human_ERR414243_bin.4.fna_01428	Human_SRR5056681_bin.100.fna_01142	Human_SRR5056817_bin.33.fna_00679	Human_SRR5056841_bin.46.fna_01399	Human_SRR5056944_bin.12.fna_01141	Human_SRR5056994_bin.72.fna_00258	Human_SRR5558136_bin.38.fna_01090	Human_SRR6028624_bin.16.fna_00081	Rumen_CACVNT01.fna_01615	Rumen_CACVQO01.fna_01644	Rumen_CACVRV01.fna_00234	Rumen_CACVSO01.fna_01430	Rumen_CACVSX01.fna_01182	Rumen_CACWHG01.fna_01954	Rumen_CACWMC01.fna_01811	Rumen_CACWMY01.fna_01421	Rumen_CACWPH01.fna_01958	Rumen_CACYST01.fna_01882	Rumen_CADAEW01.fna_01476	Rumen_CADAIA01.fna_00091	Rumen_CADBJG01.fna_01424	Rumen_CADBNS01.fna_00656	baboon1_02034	maccaque1_00879	maccaque2_01645	maccaque3_01893	maccaque4_01634	maccaque5_01622	maccaque6_01777	maccaque7_01830
30	30	0.0112	Human_ERR414243_bin.4.fna_00036	Human_SRR5056681_bin.100.fna_01364	Human_SRR5056817_bin.33.fna_01787	Human_SRR5056841_bin.46.fna_02081	Human_SRR5056944_bin.12.fna_01452	Human_SRR5056994_bin.72.fna_01750	Human_SRR5558136_bin.38.fna_01861	Human_SRR6028624_bin.16.fna_01947	Rumen_CACVNT01.fna_02753	Rumen_CACVQO01.fna_00254	Rumen_CACVRV01.fna_01591	Rumen_CACVSO01.fna_01247	Rumen_CACVSX01.fna_01026	Rumen_CACWHG01.fna_01124	Rumen_CACWMC01.fna_01574	Rumen_CACWMY01.fna_01956	Rumen_CACWPH01.fna_00050	Rumen_CACYST01.fna_00907	Rumen_CADAEW01.fna_00886	Rumen_CADAIA01.fna_00774	Rumen_CADBJG01.fna_00623	Rumen_CADBNS01.fna_02264	baboon1_01317	maccaque1_01816	maccaque2_00341	maccaque3_01770	maccaque4_01451	maccaque5_01380	maccaque6_01522	maccaque7_01731
28	31	0.353	Human_ERR414243_bin.4.fna_00401	Human_SRR5056681_bin.100.fna_00387	Human_SRR5056817_bin.33.fna_01564	Human_SRR5056841_bin.46.fna_00449	Human_SRR5056944_bin.12.fna_00897	Human_SRR5056994_bin.72.fna_00443	Human_SRR5558136_bin.38.fna_00740	Human_SRR6028624_bin.16.fna_00233	Rumen_CACVNT01.fna_00842	*	Rumen_CACVRV01.fna_00425	*	Rumen_CACVSX01.fna_02679,Rumen_CACVSX01.fna_00311	Rumen_CACWHG01.fna_00169	Rumen_CACWMC01.fna_00501	Rumen_CACWMY01.fna_00031	Rumen_CACWPH01.fna_00296	Rumen_CACYST01.fna_03066,Rumen_CACYST01.fna_01832	Rumen_CADAEW01.fna_01125	Rumen_CADAIA01.fna_00816	Rumen_CADBJG01.fna_00985	Rumen_CADBNS01.fna_00892,Rumen_CADBNS01.fna_00228	baboon1_00401	maccaque1_00239	maccaque2_01470	maccaque3_01171	maccaque4_00453	maccaque5_00237	maccaque6_00187	maccaque7_00253
13	13	0.138	*	Human_SRR5056681_bin.100.fna_01127	Human_SRR5056817_bin.33.fna_00694	Human_SRR5056841_bin.46.fna_01438	Human_SRR5056944_bin.12.fna_01156	Human_SRR5056994_bin.72.fna_00243	*	Human_SRR6028624_bin.16.fna_00096	Rumen_CACVNT01.fna_00796	Rumen_CACVQO01.fna_01809	Rumen_CACVRV01.fna_00736	*	Rumen_CACVSX01.fna_00870	*	*	*	Rumen_CACWPH01.fna_01907	Rumen_CACYST01.fna_02125	*	*	Rumen_CADBJG01.fna_01252	*	*	*	*	*	*	*	*	*
8	9	0.314	*	*	*	*	*	*	*	*	Rumen_CACVNT01.fna_00647	*	*	Rumen_CACVSO01.fna_01423	Rumen_CACVSX01.fna_00594	Rumen_CACWHG01.fna_01410	*	*	*	Rumen_CACYST01.fna_02146,Rumen_CACYST01.fna_01467	*	Rumen_CADAIA01.fna_01634	Rumen_CADBJG01.fna_03879	Rumen_CADBNS01.fna_02168	*	*	*	*	*	*	*	*
9	10	0.413	Human_ERR414243_bin.4.fna_01458	*	*	*	*	*	*	*	*	*	Rumen_CACVRV01.fna_02249	Rumen_CACVSO01.fna_02494,Rumen_CACVSO01.fna_00455	Rumen_CACVSX01.fna_00020	*	*	Rumen_CACWMY01.fna_02304	Rumen_CACWPH01.fna_02538	Rumen_CACYST01.fna_01934	*	*	Rumen_CADBJG01.fna_02665	Rumen_CADBNS01.fna_00567	*	*	*	*	*	*	*	*
17	17	0.0215	Human_ERR414243_bin.4.fna_01801	*	*	*	*	*	Human_SRR5558136_bin.38.fna_00008	Human_SRR6028624_bin.16.fna_01873	Rumen_CACVNT01.fna_00944	Rumen_CACVQO01.fna_00010	Rumen_CACVRV01.fna_02118	*	*	*	*	*	Rumen_CACWPH01.fna_02535	Rumen_CACYST01.fna_03049	*	*	Rumen_CADBJG01.fna_02068	*	baboon1_00148	maccaque1_00011	maccaque2_00981	maccaque3_00239	maccaque4_00711	maccaque5_00502	maccaque6_00240	maccaque7_00239
11	11	0.137	*	*	*	*	*	*	*	*	Rumen_CACVNT01.fna_00723	Rumen_CACVQO01.fna_00046	*	Rumen_CACVSO01.fna_01800	Rumen_CACVSX01.fna_02339	Rumen_CACWHG01.fna_02025	Rumen_CACWMC01.fna_00452	Rumen_CACWMY01.fna_00080	*	Rumen_CACYST01.fna_02997	Rumen_CADAEW01.fna_01379	Rumen_CADAIA01.fna_00867	*	Rumen_CADBNS01.fna_01618	*	*	*	*	*	*	*	*
10	11	0.387	Human_ERR414243_bin.4.fna_01682	*	*	*	*	*	*	*	Rumen_CACVNT01.fna_01659	Rumen_CACVQO01.fna_00011	Rumen_CACVRV01.fna_02119	Rumen_CACVSO01.fna_01769,Rumen_CACVSO01.fna_01548	Rumen_CACVSX01.fna_01138	Rumen_CACWHG01.fna_00686	*	*	*	Rumen_CACYST01.fna_02484	*	Rumen_CADAIA01.fna_00332	Rumen_CADBJG01.fna_02067	*	*	*	*	*	*	*	*	*
11	11	0.156	*	Human_SRR5056681_bin.100.fna_01476	Human_SRR5056817_bin.33.fna_01271	Human_SRR5056841_bin.46.fna_01161	Human_SRR5056944_bin.12.fna_02137	Human_SRR5056994_bin.72.fna_00030	*	Human_SRR6028624_bin.16.fna_00362	*	Rumen_CACVQO01.fna_00123	*	*	Rumen_CACVSX01.fna_00847	Rumen_CACWHG01.fna_02150	*	*	*	Rumen_CACYST01.fna_00504	*	*	Rumen_CADBJG01.fna_03414	*	*	*	*	*	*	*	*	*
11	11	0.182	*	*	*	*	*	*	Human_SRR5558136_bin.38.fna_00694	*	*	*	*	*	Rumen_CACVSX01.fna_01730	*	*	*	*	Rumen_CACYST01.fna_02716	*	*	*	*	baboon1_01838	maccaque1_01448	maccaque2_00598	maccaque3_01547	maccaque4_00313	maccaque5_00323	maccaque6_00474	maccaque7_00476
8	8	0.0749	Human_ERR414243_bin.4.fna_01961	*	*	*	*	*	*	*	Rumen_CACVNT01.fna_00806	*	*	Rumen_CACVSO01.fna_01157	Rumen_CACVSX01.fna_00880	Rumen_CACWHG01.fna_01055	*	Rumen_CACWMY01.fna_00013	*	Rumen_CACYST01.fna_02728	*	*	*	Rumen_CADBNS01.fna_01110	*	*	*	*	*	*	*	*
5	8	0.535	*	Human_SRR5056681_bin.100.fna_01967,Human_SRR5056681_bin.100.fna_02057	Human_SRR5056817_bin.33.fna_02128,Human_SRR5056817_bin.33.fna_02260	Human_SRR5056841_bin.46.fna_02031,Human_SRR5056841_bin.46.fna_02130	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	Rumen_CADBJG01.fna_03864	*	*	maccaque1_00229	*	*	*	*	*	*
7	8	0.393	*	*	Human_SRR5056817_bin.33.fna_01466	*	Human_SRR5056944_bin.12.fna_01491	*	*	Human_SRR6028624_bin.16.fna_00476	*	*	Rumen_CACVRV01.fna_02208,Rumen_CACVRV01.fna_02271	Rumen_CACVSO01.fna_01061	*	Rumen_CACWHG01.fna_01877	*	*	*	*	*	*	Rumen_CADBJG01.fna_02558	*	*	*	*	*	*	*	*	*
7	8	0.45	*	*	*	*	*	*	*	*	*	Rumen_CACVQO01.fna_01141	Rumen_CACVRV01.fna_01721	Rumen_CACVSO01.fna_01469	Rumen_CACVSX01.fna_00619	*	*	*	Rumen_CACWPH01.fna_02015	Rumen_CACYST01.fna_01614	*	*	Rumen_CADBJG01.fna_02251,Rumen_CADBJG01.fna_03853	*	*	*	*	*	*	*	*	*
28	28	0.0547	Human_ERR414243_bin.4.fna_01288	*	Human_SRR5056817_bin.33.fna_01721	Human_SRR5056841_bin.46.fna_01669	Human_SRR5056944_bin.12.fna_01333	Human_SRR5056994_bin.72.fna_01441	Human_SRR5558136_bin.38.fna_00392	Human_SRR6028624_bin.16.fna_02155	Rumen_CACVNT01.fna_00287	Rumen_CACVQO01.fna_01566	Rumen_CACVRV01.fna_01447	Rumen_CACVSO01.fna_00826	Rumen_CACVSX01.fna_01057	Rumen_CACWHG01.fna_01510	Rumen_CACWMC01.fna_02157	Rumen_CACWMY01.fna_00935	Rumen_CACWPH01.fna_00578	Rumen_CACYST01.fna_00435	Rumen_CADAEW01.fna_01788	Rumen_CADAIA01.fna_01699	Rumen_CADBJG01.fna_00473	*	baboon1_00247	maccaque1_00101	maccaque2_01611	maccaque3_00149	maccaque4_01036	maccaque5_00978	maccaque6_00131	maccaque7_00149
30	30	0.321	Human_ERR414243_bin.4.fna_00097	Human_SRR5056681_bin.100.fna_00458	Human_SRR5056817_bin.33.fna_00502	Human_SRR5056841_bin.46.fna_01200	Human_SRR5056944_bin.12.fna_00831	Human_SRR5056994_bin.72.fna_00576	Human_SRR5558136_bin.38.fna_00457	Human_SRR6028624_bin.16.fna_00018	Rumen_CACVNT01.fna_00546	Rumen_CACVQO01.fna_00327	Rumen_CACVRV01.fna_01235	Rumen_CACVSO01.fna_00166	Rumen_CACVSX01.fna_01944	Rumen_CACWHG01.fna_00985	Rumen_CACWMC01.fna_01922	Rumen_CACWMY01.fna_00533	Rumen_CACWPH01.fna_00408	Rumen_CACYST01.fna_00543	Rumen_CADAEW01.fna_01267	Rumen_CADAIA01.fna_01591	Rumen_CADBJG01.fna_02269	Rumen_CADBNS01.fna_00675	baboon1_00363	maccaque1_00277	maccaque2_00673	maccaque3_00501	maccaque4_00750	maccaque5_00988	maccaque6_01288	maccaque7_00291
27	27	0.168	Human_ERR414243_bin.4.fna_00040	*	*	Human_SRR5056841_bin.46.fna_02114	*	Human_SRR5056994_bin.72.fna_01901	Human_SRR5558136_bin.38.fna_01302	Human_SRR6028624_bin.16.fna_00938	Rumen_CACVNT01.fna_02537	Rumen_CACVQO01.fna_00243	Rumen_CACVRV01.fna_00280	Rumen_CACVSO01.fna_01251	Rumen_CACVSX01.fna_00290	Rumen_CACWHG01.fna_01112	Rumen_CACWMC01.fna_01068	Rumen_CACWMY01.fna_00270	Rumen_CACWPH01.fna_00059	Rumen_CACYST01.fna_02602	Rumen_CADAEW01.fna_00061	Rumen_CADAIA01.fna_01473	Rumen_CADBJG01.fna_00633	Rumen_CADBNS01.fna_02135	baboon1_01326	maccaque1_01120	maccaque2_00334	maccaque3_01229	maccaque4_00394	maccaque5_00546	maccaque6_01477	maccaque7_01362
4	5	0.45	*	*	*	*	*	*	*	*	*	*	Rumen_CACVRV01.fna_02273	Rumen_CACVSO01.fna_01057	*	Rumen_CACWHG01.fna_01874	*	*	*	*	*	*	Rumen_CADBJG01.fna_01925,Rumen_CADBJG01.fna_02561	*	*	*	*	*	*	*	*	*
4	5	0.536	*	*	*	*	*	*	*	*	*	*	*	*	Rumen_CACVSX01.fna_00701	*	*	*	*	Rumen_CACYST01.fna_01189	*	*	Rumen_CADBJG01.fna_00432,Rumen_CADBJG01.fna_01550	Rumen_CADBNS01.fna_00330	*	*	*	*	*	*	*	*
5	5	0.214	*	Human_SRR5056681_bin.100.fna_00845	Human_SRR5056817_bin.33.fna_00327	*	Human_SRR5056944_bin.12.fna_00542	*	*	Human_SRR6028624_bin.16.fna_01098	*	*	*	*	Rumen_CACVSX01.fna_01588	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
5	5	0.34	*	*	*	*	*	*	*	*	*	*	*	*	*	Rumen_CACWHG01.fna_01942	Rumen_CACWMC01.fna_01899	Rumen_CACWMY01.fna_01433	*	*	Rumen_CADAEW01.fna_00280	Rumen_CADAIA01.fna_00077	*	*	*	*	*	*	*	*	*	*
5	5	0.264	Human_ERR414243_bin.4.fna_01319	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	Rumen_CACWPH01.fna_02360	*	*	*	Rumen_CADBJG01.fna_01547	*	*	maccaque1_00535	*	*	*	*	*	maccaque7_01633
5	5	0.122	*	*	*	*	*	*	*	*	Rumen_CACVNT01.fna_01301	*	*	*	Rumen_CACVSX01.fna_00417	Rumen_CACWHG01.fna_00535	*	*	*	Rumen_CACYST01.fna_00587	*	*	*	Rumen_CADBNS01.fna_01185	*	*	*	*	*	*	*	*
5	5	0.243	Human_ERR414243_bin.4.fna_01941	*	*	*	*	*	*	Human_SRR6028624_bin.16.fna_01621	*	*	Rumen_CACVRV01.fna_02125	*	Rumen_CACVSX01.fna_01563	*	*	*	*	*	*	*	Rumen_CADBJG01.fna_02212	*	*	*	*	*	*	*	*	*
18	19	0.125	*	*	*	*	*	*	Human_SRR5558136_bin.38.fna_01095	*	Rumen_CACVNT01.fna_02825,Rumen_CACVNT01.fna_01407	*	*	Rumen_CACVSO01.fna_02624	Rumen_CACVSX01.fna_00514	*	Rumen_CACWMC01.fna_02034	Rumen_CACWMY01.fna_01858	Rumen_CACWPH01.fna_01075	Rumen_CACYST01.fna_00204	Rumen_CADAEW01.fna_01092	Rumen_CADAIA01.fna_02154	*	Rumen_CADBNS01.fna_00684	baboon1_01550	*	maccaque2_01731	maccaque3_01052	maccaque4_00273	maccaque5_01621	maccaque6_01593	maccaque7_01234
17	18	0.168	*	Human_SRR5056681_bin.100.fna_00691	Human_SRR5056817_bin.33.fna_00423	Human_SRR5056841_bin.46.fna_00171	Human_SRR5056944_bin.12.fna_00430	Human_SRR5056994_bin.72.fna_00062	*	Human_SRR6028624_bin.16.fna_02242	Rumen_CACVNT01.fna_01574	*	*	Rumen_CACVSO01.fna_00101	Rumen_CACVSX01.fna_01497	Rumen_CACWHG01.fna_00146	Rumen_CACWMC01.fna_00574	Rumen_CACWMY01.fna_00238	Rumen_CACWPH01.fna_01094,Rumen_CACWPH01.fna_01805	Rumen_CACYST01.fna_02233	Rumen_CADAEW01.fna_02003	Rumen_CADAIA01.fna_01340	Rumen_CADBJG01.fna_00704	*	*	*	*	*	*	*	*	*
16	17	0.266	*	Human_SRR5056681_bin.100.fna_01101	Human_SRR5056817_bin.33.fna_02300	Human_SRR5056841_bin.46.fna_02095	Human_SRR5056944_bin.12.fna_01002	Human_SRR5056994_bin.72.fna_00306	*	Human_SRR6028624_bin.16.fna_02264	Rumen_CACVNT01.fna_02111	*	*	Rumen_CACVSO01.fna_01968	Rumen_CACVSX01.fna_00687	Rumen_CACWHG01.fna_01584	Rumen_CACWMC01.fna_01872	Rumen_CACWMY01.fna_01593	*	Rumen_CACYST01.fna_02053	Rumen_CADAEW01.fna_01911,Rumen_CADAEW01.fna_00753	Rumen_CADAIA01.fna_02068	Rumen_CADBJG01.fna_03892	*	*	*	*	*	*	*	*	*
15	15	0.0953	Human_ERR414243_bin.4.fna_00600	Human_SRR5056681_bin.100.fna_00891	Human_SRR5056817_bin.33.fna_00088	Human_SRR5056841_bin.46.fna_00261	Human_SRR5056944_bin.12.fna_00773	Human_SRR5056994_bin.72.fna_00208	*	Human_SRR6028624_bin.16.fna_01638	Rumen_CACVNT01.fna_02335	Rumen_CACVQO01.fna_01183	Rumen_CACVRV01.fna_01083	*	Rumen_CACVSX01.fna_01330	*	*	*	Rumen_CACWPH01.fna_01634	Rumen_CACYST01.fna_02816	*	*	Rumen_CADBJG01.fna_02944	Rumen_CADBNS01.fna_00122	*	*	*	*	*	*	*	*
20	21	0.171	Human_ERR414243_bin.4.fna_01667	Human_SRR5056681_bin.100.fna_00772	Human_SRR5056817_bin.33.fna_00931	*	Human_SRR5056944_bin.12.fna_00349	*	Human_SRR5558136_bin.38.fna_01384	Human_SRR6028624_bin.16.fna_01941	Rumen_CACVNT01.fna_02399	Rumen_CACVQO01.fna_00862	*	Rumen_CACVSO01.fna_02420	Rumen_CACVSX01.fna_02414	*	*	*	Rumen_CACWPH01.fna_02569	*	*	*	Rumen_CADBJG01.fna_01511,Rumen_CADBJG01.fna_03812	*	baboon1_01821	maccaque1_02002	maccaque2_00292	maccaque3_01049	maccaque4_01271	maccaque5_00786	maccaque6_01428	maccaque7_01201
7	7	0.234	*	*	*	*	*	*	*	*	Rumen_CACVNT01.fna_02720	*	Rumen_CACVRV01.fna_00607	Rumen_CACVSO01.fna_02012	*	Rumen_CACWHG01.fna_01797	*	*	Rumen_CACWPH01.fna_01750	*	*	*	Rumen_CADBJG01.fna_00333	Rumen_CADBNS01.fna_00772	*	*	*	*	*	*	*	*
28	28	0.266	Human_ERR414243_bin.4.fna_01238	Human_SRR5056681_bin.100.fna_00493	Human_SRR5056817_bin.33.fna_00537	Human_SRR5056841_bin.46.fna_01057	Human_SRR5056944_bin.12.fna_00796	Human_SRR5056994_bin.72.fna_01652	Human_SRR5558136_bin.38.fna_00345	Human_SRR6028624_bin.16.fna_01202	Rumen_CACVNT01.fna_00762	*	Rumen_CACVRV01.fna_01695	Rumen_CACVSO01.fna_00970	Rumen_CACVSX01.fna_00518	Rumen_CACWHG01.fna_02181	Rumen_CACWMC01.fna_01529	Rumen_CACWMY01.fna_02167	Rumen_CACWPH01.fna_00368	Rumen_CACYST01.fna_00659	Rumen_CADAEW01.fna_01235	Rumen_CADAIA01.fna_02408	Rumen_CADBJG01.fna_00940	Rumen_CADBNS01.fna_00673	baboon1_00788	*	maccaque2_01718	maccaque3_00796	maccaque4_00145	maccaque5_00337	maccaque6_00570	maccaque7_00877
7	7	0.174	Human_ERR414243_bin.4.fna_01816	*	*	*	*	*	*	*	*	*	Rumen_CACVRV01.fna_01155	*	Rumen_CACVSX01.fna_00983	*	*	*	Rumen_CACWPH01.fna_01227	Rumen_CACYST01.fna_02165	*	*	Rumen_CADBJG01.fna_00047	Rumen_CADBNS01.fna_01517	*	*	*	*	*	*	*	*
7	7	0.281	*	*	*	*	*	*	*	*	Rumen_CACVNT01.fna_02383	Rumen_CACVQO01.fna_01488	*	*	*	Rumen_CACWHG01.fna_01537	Rumen_CACWMC01.fna_01990	Rumen_CACWMY01.fna_02047	*	*	Rumen_CADAEW01.fna_00368	Rumen_CADAIA01.fna_02441	*	*	*	*	*	*	*	*	*	*
30	30	0.373	Human_ERR414243_bin.4.fna_00303	Human_SRR5056681_bin.100.fna_00398	Human_SRR5056817_bin.33.fna_00630	Human_SRR5056841_bin.46.fna_00438	Human_SRR5056944_bin.12.fna_00908	Human_SRR5056994_bin.72.fna_00454	Human_SRR5558136_bin.38.fna_01242	Human_SRR6028624_bin.16.fna_02051	Rumen_CACVNT01.fna_00611	Rumen_CACVQO01.fna_00227	Rumen_CACVRV01.fna_00542	Rumen_CACVSO01.fna_01367	Rumen_CACVSX01.fna_02079	Rumen_CACWHG01.fna_01240	Rumen_CACWMC01.fna_00047	Rumen_CACWMY01.fna_00738	Rumen_CACWPH01.fna_00111	Rumen_CACYST01.fna_01306	Rumen_CADAEW01.fna_00152	Rumen_CADAIA01.fna_00546	Rumen_CADBJG01.fna_01143	Rumen_CADBNS01.fna_02023	baboon1_01473	maccaque1_00734	maccaque2_00576	maccaque3_01135	maccaque4_00472	maccaque5_01588	maccaque6_00363	maccaque7_01165
25	27	0.301	Human_ERR414243_bin.4.fna_01215	Human_SRR5056681_bin.100.fna_01678	Human_SRR5056817_bin.33.fna_01736,Human_SRR5056817_bin.33.fna_00972	Human_SRR5056841_bin.46.fna_01899	Human_SRR5056944_bin.12.fna_02060	*	Human_SRR5558136_bin.38.fna_00500	Human_SRR6028624_bin.16.fna_00980	Rumen_CACVNT01.fna_01858	Rumen_CACVQO01.fna_01630	Rumen_CACVRV01.fna_00247	*	*	Rumen_CACWHG01.fna_01859	Rumen_CACWMC01.fna_02240	*	Rumen_CACWPH01.fna_01971,Rumen_CACWPH01.fna_01841	*	Rumen_CADAEW01.fna_01464	Rumen_CADAIA01.fna_02393	Rumen_CADBJG01.fna_01437	Rumen_CADBNS01.fna_00758	baboon1_00069	maccaque1_00710	maccaque2_01568	maccaque3_00761	maccaque4_00864	maccaque5_01204	maccaque6_00958	maccaque7_00512
11	11	0.339	*	*	*	*	*	*	Human_SRR5558136_bin.38.fna_01221	*	Rumen_CACVNT01.fna_02426	*	Rumen_CACVRV01.fna_00589	Rumen_CACVSO01.fna_00285	*	Rumen_CACWHG01.fna_01626	Rumen_CACWMC01.fna_00219	Rumen_CACWMY01.fna_01114	Rumen_CACWPH01.fna_02347	*	Rumen_CADAEW01.fna_02119	Rumen_CADAIA01.fna_00230	Rumen_CADBJG01.fna_00239	*	*	*	*	*	*	*	*	*
10	12	0.443	*	*	*	*	*	*	*	*	Rumen_CACVNT01.fna_01010,Rumen_CACVNT01.fna_02621	Rumen_CACVQO01.fna_01060	Rumen_CACVRV01.fna_00032	Rumen_CACVSO01.fna_02541	Rumen_CACVSX01.fna_01541	Rumen_CACWHG01.fna_01546	*	*	Rumen_CACWPH01.fna_00935	Rumen_CACYST01.fna_01005,Rumen_CACYST01.fna_01758	*	*	Rumen_CADBJG01.fna_00102	Rumen_CADBNS01.fna_02279	*	*	*	*	*	*	*	*
10	12	0.386	Human_ERR414243_bin.4.fna_00636	Human_SRR5056681_bin.100.fna_01727	Human_SRR5056817_bin.33.fna_00890	*	*	*	*	Human_SRR6028624_bin.16.fna_00343	Rumen_CACVNT01.fna_02733	*	Rumen_CACVRV01.fna_02267	Rumen_CACVSO01.fna_02720	*	*	*	*	Rumen_CACWPH01.fna_01629	*	*	Rumen_CADAIA01.fna_00438,Rumen_CADAIA01.fna_01765	Rumen_CADBJG01.fna_02259,Rumen_CADBJG01.fna_03820	*	*	*	*	*	*	*	*	*
20	21	0.107	Human_ERR414243_bin.4.fna_01803	Human_SRR5056681_bin.100.fna_02021	Human_SRR5056817_bin.33.fna_02171	Human_SRR5056841_bin.46.fna_01992	Human_SRR5056944_bin.12.fna_02089	Human_SRR5056994_bin.72.fna_01805	Human_SRR5558136_bin.38.fna_01326	Human_SRR6028624_bin.16.fna_01682	*	*	Rumen_CACVRV01.fna_02285	Rumen_CACVSO01.fna_02664,Rumen_CACVSO01.fna_02679	*	*	*	*	Rumen_CACWPH01.fna_02221	*	*	*	Rumen_CADBJG01.fna_03915	*	baboon1_00621	maccaque1_00182	maccaque2_00456	maccaque3_00301	maccaque4_00050	maccaque5_00084	maccaque6_01374	maccaque7_00413
19	20	0.197	*	Human_SRR5056681_bin.100.fna_01020	*	*	Human_SRR5056944_bin.12.fna_02146	Human_SRR5056994_bin.72.fna_00526	Human_SRR5558136_bin.38.fna_01867	*	Rumen_CACVNT01.fna_02634	Rumen_CACVQO01.fna_01243	Rumen_CACVRV01.fna_01256	Rumen_CACVSO01.fna_01448	Rumen_CACVSX01.fna_01872	Rumen_CACWHG01.fna_02052	*	*	Rumen_CACWPH01.fna_00783	*	*	*	Rumen_CADBJG01.fna_03510,Rumen_CADBJG01.fna_03260	*	baboon1_00717	maccaque1_00495	maccaque2_01517	maccaque3_00071	maccaque4_00576	maccaque5_01721	*	maccaque7_00063
13	14	0.373	*	Human_SRR5056681_bin.100.fna_00825	Human_SRR5056817_bin.33.fna_00307	*	Human_SRR5056944_bin.12.fna_00522	Human_SRR5056994_bin.72.fna_01180	Human_SRR5558136_bin.38.fna_00892	Human_SRR6028624_bin.16.fna_00319	Rumen_CACVNT01.fna_02489	*	Rumen_CACVRV01.fna_01176	Rumen_CACVSO01.fna_02521,Rumen_CACVSO01.fna_02598	*	*	*	*	Rumen_CACWPH01.fna_02226	*	*	*	*	*	*	maccaque1_01233	*	maccaque3_00520	*	*	*	maccaque7_00596
13	14	0.299	*	*	*	*	*	*	*	*	Rumen_CACVNT01.fna_01989	Rumen_CACVQO01.fna_00060	Rumen_CACVRV01.fna_00619	Rumen_CACVSO01.fna_01100	Rumen_CACVSX01.fna_01407	Rumen_CACWHG01.fna_01175	*	Rumen_CACWMY01.fna_00413	Rumen_CACWPH01.fna_01738	Rumen_CACYST01.fna_01029	Rumen_CADAEW01.fna_00308	Rumen_CADAIA01.fna_01157	Rumen_CADBJG01.fna_00345,Rumen_CADBJG01.fna_03202	Rumen_CADBNS01.fna_01181	*	*	*	*	*	*	*	*
22	22	0.0175	Human_ERR414243_bin.4.fna_01693	*	*	Human_SRR5056841_bin.46.fna_02099	*	*	Human_SRR5558136_bin.38.fna_00567	Human_SRR6028624_bin.16.fna_02198	Rumen_CACVNT01.fna_00125	*	Rumen_CACVRV01.fna_00679	Rumen_CACVSO01.fna_01996	Rumen_CACVSX01.fna_02487	Rumen_CACWHG01.fna_00675	*	Rumen_CACWMY01.fna_00361	*	Rumen_CACYST01.fna_03087	Rumen_CADAEW01.fna_01986	Rumen_CADAIA01.fna_01868	Rumen_CADBJG01.fna_02519	*	baboon1_00283	maccaque1_01563	maccaque2_00417	maccaque3_00424	maccaque4_01371	maccaque5_00918	maccaque6_01454	maccaque7_00369
20	20	0.282	Human_ERR414243_bin.4.fna_00154	Human_SRR5056681_bin.100.fna_01326	Human_SRR5056817_bin.33.fna_01283	Human_SRR5056841_bin.46.fna_00892	Human_SRR5056944_bin.12.fna_01256	Human_SRR5056994_bin.72.fna_00860	*	Human_SRR6028624_bin.16.fna_00301	Rumen_CACVNT01.fna_00103	Rumen_CACVQO01.fna_01783	Rumen_CACVRV01.fna_01324	Rumen_CACVSO01.fna_00116	Rumen_CACVSX01.fna_01363	Rumen_CACWHG01.fna_00155	Rumen_CACWMC01.fna_00159	Rumen_CACWMY01.fna_01724	Rumen_CACWPH01.fna_01332	Rumen_CACYST01.fna_02183	Rumen_CADAEW01.fna_02077	Rumen_CADAIA01.fna_00291	Rumen_CADBJG01.fna_02547	*	*	*	*	*	*	*	*	*
9	9	0.119	*	*	*	*	*	*	*	*	Rumen_CACVNT01.fna_01910	*	*	*	Rumen_CACVSX01.fna_00589	Rumen_CACWHG01.fna_01014	Rumen_CACWMC01.fna_00466	Rumen_CACWMY01.fna_00066	*	Rumen_CACYST01.fna_02151	Rumen_CADAEW01.fna_01170	Rumen_CADAIA01.fna_00852	*	Rumen_CADBNS01.fna_01662	*	*	*	*	*	*	*	*
